id,label,melting_point,boiling_point,acid_base_type,acid_base_strength,ionization_factor,bond_type,molar_mass,density,heat_capacity,enthalpy_formation
187,C31H62 (Alkena/Olefin),164.22,457.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,434.837,0.821,967.2,-751.798773993808
188,C31H63COOH (Asam Lemak/Karboksilat),219.58,716.83,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,480.862,0.863,1032.0,-1209.3805613269815
189,C31H63Cl (Kloroalkana),285.0,790.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,471.295,0.813,1001.2,-854.1282993620664
190,C31H63F (Fluoroalkana),166.57,446.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,454.843,0.813,999.6,-854.1282993620664
191,C31H63NH2 (Amina),285.0,770.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,451.868,0.827,1027.4,-747.8964113838036
192,C31H63OH (Alkohol Alifatik),87.6,727.47,Netral,Tidak Ada,0.0,Senyawa Kovalen,452.852,0.848,1006.8,-1163.819642857143
193,C31H64 (Alkana/Parafin),67.9,458.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,436.853,0.813,990.0,-854.1282993620664
194,C32H62 (Alkuna),224.22,463.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,446.848,0.831,975.6,-917.0836277602523
195,C32H64 (Alkena/Olefin),58.85,793.85,Netral,Tidak Ada,0.0,Senyawa Kovalen,448.864,0.823,998.4,-778.6272972136222
196,C32H65COOH (Asam Lemak/Karboksilat),435.0,1010.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,494.889,0.862,1063.2,-1237.2549842162657
197,C32H65Cl (Kloroalkana),300.0,820.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,485.322,0.814,1032.4,-877.3512737928531
198,C32H65F (Fluoroalkana),177.84,454.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,468.87,0.814,1030.8,-877.3512737928531
199,C32H65NH2 (Amina),260.51,503.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,465.895,0.828,1058.6,-770.8658182108882
200,C32H65OH (Alkohol Alifatik),89.0,750.79,Netral,Tidak Ada,0.0,Senyawa Kovalen,466.879,0.848,1038.0,-1196.7935357142858
201,C32H66 (Alkana/Parafin),69.85,470.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,450.88,0.814,1021.2,-968.3
202,C33H64 (Alkuna),235.49,471.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,460.875,0.832,1006.8,-953.425552050473
203,C33H66 (Alkena/Olefin),186.76,473.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,462.891,0.824,1029.6,-805.4558204334364
204,C33H67COOH (Asam Lemak/Karboksilat),212.12,761.71,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,508.916,0.862,1094.4,-1265.12940710555
205,C33H67Cl (Kloroalkana),315.0,850.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,499.349,0.815,1063.6,-900.5742482236399
206,C33H67F (Fluoroalkana),189.11,461.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,482.897,0.815,1062.0,-900.5742482236399
207,C33H67NH2 (Amina),220.99,428.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,479.922,0.828,1089.8,-793.8352250379727
208,C33H67OH (Alkohol Alifatik),365.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,480.906,0.848,1069.2,-1229.7674285714286
209,C33H68 (Alkana/Parafin),72.0,475.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,464.907,0.815,1052.4,-900.5742482236399
210,C34H66 (Alkuna),246.76,478.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,474.902,0.833,1038.0,-989.767476340694
211,C34H68 (Alkena/Olefin),198.03,701.05,Netral,Tidak Ada,0.0,Senyawa Kovalen,476.918,0.825,1060.8,-832.2843436532507
212,C34H69COOH (Asam Lemak/Karboksilat),465.0,1070.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,522.943,0.862,1125.6,-1293.0038299948344
213,C34H69Cl (Kloroalkana),330.0,880.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,513.376,0.816,1094.8,-923.7972226544266
214,C34H69F (Fluoroalkana),200.38,468.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,496.924,0.816,1093.2,-923.7972226544266
215,C34H69NH2 (Amina),330.0,860.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,493.949,0.828,1121.0,-816.8046318650572
216,C34H69OH (Alkohol Alifatik),245.61,796.11,Netral,Tidak Ada,0.0,Senyawa Kovalen,494.933,0.848,1100.4,-1262.7413214285716
217,C34H70 (Alkana/Parafin),72.6,483.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,478.934,0.816,1083.6,-923.7972226544266
218,C35H68 (Alkuna),258.03,486.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,488.929,0.834,1069.2,-1026.1094006309147
219,C35H70 (Alkena/Olefin),209.3,489.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,490.945,0.826,1092.0,-859.112866873065
220,C35H71COOH (Asam Lemak/Karboksilat),60.0,808.35,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,536.97,0.861,1156.8,-1320.8782528841186
221,C35H71Cl (Kloroalkana),240.98,344.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,527.403,0.817,1126.0,-947.0201970852133
222,C35H71F (Fluoroalkana),211.65,475.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,510.951,0.817,1124.4,-947.0201970852133
223,C35H71NH2 (Amina),345.0,890.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,507.976,0.829,1152.2,-839.7740386921416
224,C35H71OH (Alkohol Alifatik),395.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,508.96,0.848,1131.6,-1295.7152142857144
225,C35H72 (Alkana/Parafin),75.0,489.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,492.961,0.817,1114.8,-947.0201970852133
226,C36H70 (Alkuna),269.3,493.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,502.956,0.835,1100.4,-1062.4513249211357
227,C36H72 (Alkena/Olefin),220.57,496.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,504.972,0.827,1123.2,-885.9413900928791
228,C36H73COOH (Asam Lemak/Karboksilat),495.0,1130.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,550.997,0.861,1188.0,-1348.7526757734029
229,C36H73Cl (Kloroalkana),360.0,940.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,541.43,0.818,1157.2,-970.2431715160003
230,C36H73F (Fluoroalkana),222.92,482.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,524.978,0.818,1155.6,-970.2431715160003
231,C36H73NH2 (Amina),305.59,533.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,522.003,0.829,1183.4,-862.7434455192262
232,C36H73OH (Alkohol Alifatik),268.15,841.87,Netral,Tidak Ada,0.0,Senyawa Kovalen,522.987,0.848,1162.8,-1328.6891071428572
233,C36H74 (Alkana/Parafin),76.25,504.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,506.988,0.818,1146.0,-970.2431715160003
234,C37H72 (Alkuna),280.57,500.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,516.983,0.836,1131.6,-1098.7932492113564
235,C37H74 (Alkena/Olefin),231.84,503.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,518.999,0.828,1154.4,-912.7699133126935
236,C37H75COOH (Asam Lemak/Karboksilat),18.35,854.11,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,565.024,0.861,1219.2,-1216.5
237,C37H75Cl (Kloroalkana),375.0,970.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,555.457,0.819,1188.4,-993.466145946787
238,C37H75F (Fluoroalkana),234.19,489.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,539.005,0.819,1186.8,-993.466145946787
239,C37H75NH2 (Amina),40.0,785.45,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,536.03,0.829,1214.6,-885.7128523463107
240,C37H75OH (Alkohol Alifatik),425.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,537.014,0.848,1194.0,-1361.663
241,C37H76 (Alkana/Parafin),46.71,505.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,521.015,0.819,1177.2,-993.466145946787
242,C38H74 (Alkuna),291.84,507.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,531.01,0.837,1162.8,-1135.1351735015771
243,C38H76 (Alkena/Olefin),243.11,510.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,533.026,0.828,1185.6,-939.5984365325077
244,C38H77COOH (Asam Lemak/Karboksilat),525.0,1190.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,579.051,0.861,1250.4,-1404.5015215519713
245,C38H77Cl (Kloroalkana),0.0,100.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,569.484,0.82,1219.6,-1016.6891203775738
246,C38H77F (Fluoroalkana),245.46,495.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,553.032,0.82,1218.0,-1016.6891203775738
247,C38H77NH2 (Amina),390.0,980.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,550.057,0.829,1245.8,-908.6822591733951
248,C38H77OH (Alkohol Alifatik),440.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,551.041,0.848,1225.2,-1394.636892857143
249,C38H78 (Alkana/Parafin),80.5,512.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,535.042,0.82,1208.4,-1016.6891203775738
250,C39H76 (Alkuna),303.11,513.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,545.037,0.838,1194.0,-1171.477097791798
251,C39H78 (Alkena/Olefin),254.38,517.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,547.053,0.829,1216.8,-966.426959752322
252,C39H79COOH (Asam Lemak/Karboksilat),309.74,899.87,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,593.078,0.86,1281.6,-1432.3759444412556
253,C39H79Cl (Kloroalkana),405.0,1030.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,583.511,0.821,1250.8,-1039.9120948083605
254,C39H79F (Fluoroalkana),256.73,502.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,567.059,0.821,1249.2,-1039.9120948083605
255,C39H79NH2 (Amina),288.61,467.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,564.084,0.83,1277.0,-931.6516660004796
256,C39H79OH (Alkohol Alifatik),455.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,565.068,0.848,1256.4,-1427.6107857142858
257,C39H80 (Alkana/Parafin),79.88,518.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,549.069,0.821,1239.6,-1039.9120948083605
258,C3H4 (Alkuna),-136.2,-32.28,Netral,Tidak Ada,0.0,Senyawa Kovalen,40.065,0.453,70.8,190.16
259,C3H6 (Alkena/Olefin),-185.07,-47.62,Netral,Tidak Ada,0.0,Senyawa Kovalen,42.081,0.46,93.6,20.37
260,C3H6O3 (Gliseraldehida),53.0,125.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,90.078,,144.0,-694.08
261,C3H7COOH (Asam Lemak/Karboksilat),11.0,235.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,88.106,0.983,158.4,-395.09
262,C3H7Cl (Kloroalkana),-122.8,46.2,Netral,Tidak Ada,0.0,Senyawa Kovalen,78.539,0.467,127.6,-160.5
263,C3H7F (Fluoroalkana),-159.0,-3.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,62.087,0.467,126.0,-285.9
264,C3H7NH2 (Amina),-95.13,31.8,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,59.112,0.707,153.8,-112.3
265,C3H7OH (Alkohol Alifatik),-113.0,6.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,60.096,0.83,133.2,-216.4
266,C3H8 (Propana),-187.65,-42.11,Netral,Tidak Ada,0.0,Senyawa Kovalen,44.097,,116.4,-104.39
267,C40H78 (Alkuna),314.38,520.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,559.064,0.839,1225.2,-1207.8190220820188
268,C40H80 (Alkena/Olefin),265.65,523.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,561.08,0.83,1248.0,-993.2554829721361
269,C40H81COOH (Asam Lemak/Karboksilat),555.0,1250.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,607.105,0.86,1312.8,-1460.25036733054
270,C40H81Cl (Kloroalkana),420.0,1060.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,597.538,0.821,1282.0,-1063.1350692391475
271,C40H81F (Fluoroalkana),268.0,508.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,581.086,0.821,1280.4,-1063.1350692391475
272,C40H81NH2 (Amina),420.0,1040.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,578.111,0.83,1308.2,-954.6210728275641
273,C40H81OH (Alkohol Alifatik),470.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,579.095,0.849,1287.6,-1460.5846785714286
274,C40H82 (Alkana/Parafin),81.5,522.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,563.096,0.821,1270.8,-1063.1350692391475
275,C41H80 (Alkuna),435.0,1070.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,573.091,0.84,1256.4,-1244.1609463722396
276,C41H82 (Alkena/Olefin),435.0,1070.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,575.107,0.831,1279.2,-1020.0840061919504
277,C41H83COOH (Asam Lemak/Karboksilat),272.28,943.87,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,621.132,0.86,1344.0,-1488.1247902198243
278,C41H83Cl (Kloroalkana),435.0,1090.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,611.565,0.822,1313.2,-1086.3580436699342
279,C41H83F (Fluoroalkana),435.0,1090.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,595.113,0.822,1311.6,-1086.3580436699342
280,C41H83NH2 (Amina),435.0,1070.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,592.138,0.83,1339.4,-977.5904796546487
281,C41H83OH (Alkohol Alifatik),485.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,593.122,0.849,1318.8,-1493.5585714285717
282,C41H84 (Alkana/Parafin),68.94,531.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,577.123,0.822,1302.0,-1086.3580436699342
283,C42H82 (Alkuna),450.0,1100.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,587.118,0.84,1287.6,-1280.5028706624605
284,C42H84 (Alkena/Olefin),75.85,1065.35,Netral,Tidak Ada,0.0,Senyawa Kovalen,589.134,0.831,1310.4,-1046.9125294117646
285,C42H85COOH (Asam Lemak/Karboksilat),343.55,968.51,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,635.159,0.86,1375.2,-1515.9992131091085
286,C42H85Cl (Kloroalkana),450.0,1120.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,625.592,0.823,1344.4,-1109.581018100721
287,C42H85F (Fluoroalkana),450.0,1120.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,609.14,0.823,1342.8,-1109.581018100721
288,C42H85NH2 (Amina),33.5,484.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,606.165,0.83,1370.6,-1000.5598864817332
289,C42H85OH (Alkohol Alifatik),0.0,100.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,607.149,0.849,1350.0,-1526.5324642857145
290,C42H86 (Alkana/Parafin),82.95,537.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,591.15,0.823,1333.2,-1109.581018100721
291,C43H84 (Alkuna),465.0,1130.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,601.145,0.841,1318.8,-1316.8447949526812
292,C43H86 (Alkena/Olefin),465.0,1130.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,603.161,0.832,1341.6,-1073.7410526315787
293,C43H87COOH (Asam Lemak/Karboksilat),75.0,991.39,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,649.186,0.859,1406.4,-1543.8736359983927
294,C43H87Cl (Kloroalkana),465.0,1150.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,639.619,0.823,1375.6,-1132.8039925315077
295,C43H87F (Fluoroalkana),465.0,1150.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,623.167,0.823,1374.0,-1132.8039925315077
296,C43H87NH2 (Amina),465.0,1130.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,620.192,0.831,1401.8,-1023.5292933088176
297,C43H87OH (Alkohol Alifatik),515.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,621.176,0.849,1381.2,-1559.5063571428573
298,C43H88 (Alkana/Parafin),84.85,542.5,Netral,Tidak Ada,0.0,Senyawa Kovalen,605.177,0.823,1364.4,-1132.8039925315077
299,C44H86 (Alkuna),480.0,1160.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,615.172,0.842,1350.0,-1353.186719242902
300,C44H88 (Alkena/Olefin),480.0,1160.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,617.188,0.833,1372.8,-1100.569575851393
301,C44H89COOH (Asam Lemak/Karboksilat),615.0,1370.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,663.213,0.859,1437.6,-1571.748058887677
302,C44H89Cl (Kloroalkana),480.0,1180.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,653.646,0.824,1406.8,-1156.0269669622944
303,C44H89F (Fluoroalkana),480.0,1180.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,637.194,0.824,1405.2,-1156.0269669622944
304,C44H89NH2 (Amina),480.0,1160.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,634.219,0.831,1433.0,-1046.4987001359023
305,C44H89OH (Alkohol Alifatik),530.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,635.203,0.849,1412.4,-1592.48025
306,C44H90 (Alkana/Parafin),87.75,548.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,619.204,0.824,1395.6,-1156.0269669622944
307,C45H88 (Alkuna),495.0,1190.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,629.199,0.842,1381.2,-1389.528643533123
308,C45H90 (Alkena/Olefin),79.98,1146.8,Netral,Tidak Ada,0.0,Senyawa Kovalen,631.215,0.833,1404.0,-1127.3980990712073
309,C45H91COOH (Asam Lemak/Karboksilat),630.0,1400.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,677.24,0.859,1468.8,-1599.6224817769612
310,C45H91Cl (Kloroalkana),495.0,1210.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,667.673,0.824,1438.0,-1179.2499413930814
311,C45H91F (Fluoroalkana),495.0,1210.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,651.221,0.824,1436.4,-1179.2499413930814
312,C45H91NH2 (Amina),495.0,1190.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,648.246,0.831,1464.2,-1069.4681069629867
313,C45H91OH (Alkohol Alifatik),545.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,649.23,0.849,1443.6,-1625.454142857143
314,C45H92 (Alkana/Parafin),323.76,554.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,633.231,0.824,1426.8,-1179.2499413930814
315,C46H90 (Alkuna),510.0,1220.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,643.226,0.843,1412.4,-1425.8705678233437
316,C46H92 (Alkena/Olefin),510.0,1220.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,645.242,0.834,1435.2,-1154.2266222910214
317,C46H93COOH (Asam Lemak/Karboksilat),645.0,1430.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,691.267,0.859,1500.0,-1627.4969046662457
318,C46H93Cl (Kloroalkana),510.0,1240.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,681.7,0.825,1469.2,-1202.472915823868
319,C46H93F (Fluoroalkana),510.0,1240.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,665.248,0.825,1467.6,-1202.472915823868
320,C46H93NH2 (Amina),510.0,1220.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,662.273,0.831,1495.4,-1092.437513790071
321,C46H93OH (Alkohol Alifatik),560.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,663.257,0.849,1474.8,-1658.428035714286
322,C46H94 (Alkana/Parafin),87.85,559.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,647.258,0.825,1458.0,-1202.472915823868
323,C47H92 (Alkuna),525.0,1250.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,657.253,0.843,1443.6,-1462.2124921135646
324,C47H94 (Alkena/Olefin),525.0,1250.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,659.269,0.834,1466.4,-1181.0551455108357
325,C47H95COOH (Asam Lemak/Karboksilat),660.0,1460.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,705.294,0.859,1531.2,-1655.37132755553
326,C47H95Cl (Kloroalkana),525.0,1270.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,695.727,0.826,1500.4,-1225.6958902546548
327,C47H95F (Fluoroalkana),525.0,1270.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,679.275,0.826,1498.8,-1225.6958902546548
328,C47H95NH2 (Amina),525.0,1250.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,676.3,0.831,1526.6,-1115.4069206171557
329,C47H95OH (Alkohol Alifatik),575.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,677.284,0.849,1506.0,-1691.4019285714287
330,C47H96 (Alkana/Parafin),346.3,564.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,661.285,0.826,1489.2,-1225.6958902546548
331,C48H94 (Alkuna),540.0,1280.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,671.28,0.844,1474.8,-1498.5544164037854
332,C48H96 (Alkena/Olefin),85.85,1228.25,Netral,Tidak Ada,0.0,Senyawa Kovalen,673.296,0.835,1497.6,-1207.88366873065
333,C48H97COOH (Asam Lemak/Karboksilat),675.0,1490.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,719.321,0.858,1562.4,-1683.2457504448141
334,C48H97Cl (Kloroalkana),540.0,1300.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,709.754,0.826,1531.6,-1248.9188646854416
335,C48H97F (Fluoroalkana),540.0,1300.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,693.302,0.826,1530.0,-1248.9188646854416
336,C48H97NH2 (Amina),42.38,516.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,690.327,0.832,1557.8,-1138.3763274442401
337,C48H97OH (Alkohol Alifatik),590.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,691.311,0.849,1537.2,-1724.3758214285717
338,C48H98 (Alkana/Parafin),88.25,570.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,675.312,0.826,1520.4,-1248.9188646854416
339,C49H100 (Alkana/Parafin),368.84,574.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,689.339,0.827,1551.6,-1272.1418391162285
340,C49H96 (Alkuna),555.0,1310.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,685.307,0.844,1506.0,-1534.896340694006
341,C49H98 (Alkena/Olefin),555.0,1310.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,687.323,0.836,1528.8,-1234.712191950464
342,C49H99COOH (Asam Lemak/Karboksilat),690.0,1520.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,733.348,0.858,1593.6,-1711.1201733340984
343,C49H99Cl (Kloroalkana),555.0,1330.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,723.781,0.827,1562.8,-1272.1418391162285
344,C49H99F (Fluoroalkana),555.0,1330.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,707.329,0.827,1561.2,-1272.1418391162285
345,C49H99NH2 (Amina),555.0,1310.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,704.354,0.832,1589.0,-1161.3457342713245
346,C49H99OH (Alkohol Alifatik),605.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,705.338,0.849,1568.4,-1757.3497142857145
347,C4H10 (Butana),-138.1,-0.49,Netral,Tidak Ada,0.0,Senyawa Kovalen,58.124,,147.6,-125.85
348,C4H4 (Vinilasetilena),203.0,6.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,52.076,,79.2,
349,C4H6 (Alkuna),-136.2,11.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,54.092,0.557,102.0,162.3
350,C4H8 (Alkena/Olefin),-138.89,3.72,Netral,Tidak Ada,0.0,Senyawa Kovalen,56.108,0.56,124.8,-7.33
351,C4H9COOH (Asam Lemak/Karboksilat),15.0,93.6,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,102.133,0.95,189.6,-481.79
352,C4H9Cl (Kloroalkana),-131.0,69.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,92.566,0.562,158.8,-191.1
353,C4H9F (Fluoroalkana),-121.4,23.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,76.114,0.562,157.2,-352.29
354,C4H9NH2 (Amina),-85.0,68.8,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,73.139,0.74,185.0,-132.6
355,C4H9OH (Alkohol Alifatik),-131.08,30.8,Netral,Tidak Ada,0.0,Senyawa Kovalen,74.123,0.835,164.4,-278.8
356,C50H100 (Alkena/Olefin),570.0,1340.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,701.35,0.836,1560.0,-1261.5407151702784
357,C50H101COOH (Asam Lemak/Karboksilat),705.0,1550.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,747.375,0.858,1624.8,-1738.9945962233826
358,C50H101Cl (Kloroalkana),570.0,1360.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,737.808,0.827,1594.0,-1295.3648135470153
359,C50H101F (Fluoroalkana),570.0,1360.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,721.356,0.827,1592.4,-1295.3648135470153
360,C50H101NH2 (Amina),570.0,1340.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,718.381,0.832,1620.2,-1184.3151410984092
361,C50H101OH (Alkohol Alifatik),620.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,719.365,0.849,1599.6,-1790.3236071428573
362,C50H102 (Alkana/Parafin),91.7,575.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,703.366,0.827,1582.8,-1295.3648135470153
363,C50H98 (Alkuna),570.0,1340.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,699.334,0.845,1537.2,-1571.238264984227
364,C51H100 (Alkuna),585.0,1370.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,713.361,0.845,1568.4,-1607.5801892744478
365,C51H102 (Alkena/Olefin),585.0,1370.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,715.377,0.836,1591.2,-1288.3692383900925
366,C51H103COOH (Asam Lemak/Karboksilat),720.0,1580.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,761.402,0.858,1656.0,-1766.869019112667
367,C51H103Cl (Kloroalkana),585.0,1390.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,751.835,0.827,1625.2,-1318.587787977802
368,C51H103F (Fluoroalkana),585.0,1390.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,735.383,0.827,1623.6,-1318.587787977802
369,C51H103NH2 (Amina),585.0,1370.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,732.408,0.832,1651.4,-1207.2845479254936
