id,label,melting_point,boiling_point,acid_base_type,acid_base_strength,ionization_factor,bond_type,molar_mass,density,heat_capacity,enthalpy_formation
44,C14H29NH2 (Amina),83.1,289.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,213.409,0.811,497.0,-357.4164953233672
45,C14H29OH (Alkohol Alifatik),20.21,338.51,Netral,Tidak Ada,0.0,Senyawa Kovalen,214.393,0.846,476.4,-598.01
46,C14H30 (Alkana/Parafin),-40.61,246.33,Netral,Tidak Ada,0.0,Senyawa Kovalen,198.394,0.768,459.6,-401.49
47,C15H28 (Alkuna),-23.68,292.46,Netral,Tidak Ada,0.0,Senyawa Kovalen,208.389,0.787,445.2,-333.88
48,C15H30 (Alkena/Olefin),-19.42,273.81,Netral,Tidak Ada,0.0,Senyawa Kovalen,210.405,0.78,468.0,-316.6
49,C15H31COOH (Asam Lemak/Karboksilat),12.15,308.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,256.43,0.877,532.8,-779.18
50,C15H31Cl (Kloroalkana),15.58,307.08,Netral,Tidak Ada,0.0,Senyawa Kovalen,246.863,0.773,502.0,-387.4
51,C15H31F (Fluoroalkana),-13.75,274.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,230.411,0.773,500.4,-524.49
52,C15H31NH2 (Amina),18.13,242.5,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,227.436,0.813,528.2,-361.73
53,C15H31OH (Alkohol Alifatik),46.0,318.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,228.42,0.846,507.6,-658.2
54,C15H32 (Alkana/Parafin),9.95,270.6,Netral,Tidak Ada,0.0,Senyawa Kovalen,212.421,0.773,490.8,-428.8
55,C16H30 (Alkuna),14.49,318.42,Netral,Tidak Ada,0.0,Senyawa Kovalen,222.416,0.792,476.4,-360.7
56,C16H32 (Alkena/Olefin),-1.85,298.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,224.432,0.785,499.2,-418.4
57,C16H33COOH (Asam Lemak/Karboksilat),61.0,362.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,270.457,0.875,564.0,-924.4
58,C16H33Cl (Kloroalkana),11.85,329.52,Netral,Tidak Ada,0.0,Senyawa Kovalen,260.89,0.778,533.2,-481.37
59,C16H33F (Fluoroalkana),-2.48,287.5,Netral,Tidak Ada,0.0,Senyawa Kovalen,244.438,0.778,531.6,-543.64
60,C16H33NH2 (Amina),-60.0,281.1,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,241.463,0.815,559.4,-419.22
61,C16H33OH (Alkohol Alifatik),-7.6,289.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,242.447,0.846,538.8,-588.75
62,C16H34 (Alkana/Parafin),18.0,286.75,Netral,Tidak Ada,0.0,Senyawa Kovalen,226.448,0.778,522.0,-456.1
63,C17H32 (Alkuna),70.76,354.99,Netral,Tidak Ada,0.0,Senyawa Kovalen,236.443,0.796,507.6,-371.95476340694006
64,C17H34 (Alkena/Olefin),11.25,301.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,238.459,0.789,530.4,-351.71
65,C17H35COOH (Asam Lemak/Karboksilat),24.0,334.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,284.484,0.874,595.2,-828.38
